City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,besuki,-7.7338,113.6979,28.63,71,92,1.09,ID,1700092150
1,nerchinsk,51.9833,116.5833,-8.55,81,100,4.49,RU,1700092151
2,cabo san lucas,22.8909,-109.9124,29.78,57,100,4.12,MX,1700091923
3,uppsala,60.0,17.75,-2.27,100,100,4.63,SE,1700092152
4,port-aux-francais,-49.35,70.2167,4.76,83,98,17.36,TF,1700092152
5,bredasdorp,-34.5322,20.0403,18.45,82,100,0.45,ZA,1700092153
6,monte azul,-15.155,-42.8747,27.46,40,46,2.09,BR,1700092153
7,blackmans bay,-43.0167,147.3167,12.63,62,100,0.89,AU,1700092154
8,khorixas,-20.3667,14.9667,22.42,64,99,2.24,NA,1700092155
9,rengasdengklok,-6.1592,107.2981,26.07,72,67,1.01,ID,1700092156
10,phan rang-thap cham,11.5667,108.9833,25.78,88,92,3.56,VN,1700092156
11,albany,42.6001,-73.9662,8.23,68,97,1.27,US,1700092157
12,college,64.8569,-147.8028,-2.18,83,75,2.57,US,1700091955
13,puducherry,11.9333,79.8167,24.02,92,96,5.04,IN,1700092158
14,adamstown,-25.066,-130.1015,21.84,91,100,8.66,PN,1700092159
15,chonchi,-42.6128,-73.8092,9.56,83,69,1.4,CL,1700092064
16,ushuaia,-54.8,-68.3,4.81,45,40,9.39,AR,1700092036
17,camacupa,-12.0167,17.4833,16.75,95,100,0.14,AO,1700092160
18,punta arenas,-53.15,-70.9167,7.06,42,0,7.72,CL,1700092161
19,flying fish cove,-10.4217,105.6791,24.82,94,100,4.12,CX,1700092161
20,richards bay,-28.783,32.0377,18.67,75,0,6.68,ZA,1700092162
21,bethel,41.3712,-73.414,9.47,72,0,2.57,US,1700092156
22,gagnoa,6.1293,-5.9437,22.89,98,76,0.71,CI,1700092163
23,dabhol,17.6,73.1667,21.8,64,24,2.06,IN,1700092164
24,puerto natales,-51.7236,-72.4875,4.12,82,86,2.38,CL,1700092046
25,pathein,16.7833,94.7333,23.35,93,93,2.8,MM,1700092165
26,saint-denis,48.9167,2.3333,9.52,96,0,1.03,FR,1700092114
27,bilibino,68.0546,166.4372,-25.82,100,99,0.71,RU,1700092166
28,obo,5.3998,26.4869,21.53,93,93,1.02,CF,1700092166
29,at taj,24.2049,23.2857,15.76,47,14,3.39,LY,1700092167
30,khash,28.2211,61.2158,12.27,37,0,1.28,IR,1700092167
31,jamestown,42.097,-79.2353,8.73,49,56,0.45,US,1700092155
32,enewetak,11.3474,162.3373,28.14,82,97,9.01,MH,1700092169
33,avarua,-21.2078,-159.775,24.03,60,75,7.72,CK,1700092169
34,mudgee,-32.5943,149.5871,25.44,29,66,3.57,AU,1700092170
35,la passe,45.5549,-0.8967,12.21,85,100,6.32,FR,1700092170
36,wailua homesteads,22.0669,-159.378,28.24,74,20,8.75,US,1700092171
37,grytviken,-54.2811,-36.5092,2.3,77,100,5.6,GS,1700092171
38,boldumsaz,42.1282,59.671,10.97,84,100,2.85,TM,1700092172
39,santa ana,33.7456,-117.8678,18.22,82,100,2.06,US,1700092146
40,hohhot,40.8106,111.6522,-3.84,63,40,4.0,CN,1700092173
41,puerto ayora,-0.7393,-90.3518,24.19,94,86,2.68,EC,1700092173
42,port elizabeth,-33.918,25.5701,17.16,88,0,5.14,ZA,1700092174
43,turkmenbasy,40.0222,52.9552,11.43,87,75,1.03,TM,1700092175
44,hithadhoo,-0.6,73.0833,27.83,75,76,6.47,MV,1700092176
45,puerto baquerizo moreno,-0.9,-89.6,23.36,87,58,4.74,EC,1700092176
46,ribeira grande,38.5167,-28.7,20.43,97,95,6.26,PT,1700092177
47,port douglas,-16.4833,145.4667,26.4,56,80,2.19,AU,1700091901
48,bandarbeyla,9.4942,50.8122,26.72,81,100,4.62,SO,1700092178
49,haiku-pauwela,20.9219,-156.3051,26.01,73,40,11.83,US,1700092179
50,port lincoln,-34.7333,135.8667,15.56,70,96,7.45,AU,1700092179
51,sao paulo de olivenca,-3.3783,-68.8725,27.08,66,46,0.31,BR,1700092180
52,iqaluit,63.7506,-68.5145,-3.15,80,75,8.75,CA,1700092180
53,ha'il,27.5219,41.6907,16.01,94,75,2.06,SA,1700092181
54,awjilah,29.1081,21.2869,17.94,85,0,3.26,LY,1700092181
55,yarmouth,41.7057,-70.2286,9.45,80,0,5.14,US,1700092182
56,antsohihy,-14.8796,47.9875,23.75,91,26,0.31,MG,1700092183
57,nemuro,43.3236,145.575,6.43,58,6,1.2,JP,1700092184
58,huaraz,-9.5333,-77.5333,13.17,78,100,1.0,PE,1700092057
59,georgetown,5.4112,100.3354,27.75,92,20,1.54,MY,1700091910
60,kolonia town,6.964,158.206,30.0,70,100,2.57,FM,1700092185
61,waitangi,-43.9535,-176.5597,12.24,67,29,5.94,NZ,1700092186
62,edinburgh of the seven seas,-37.0676,-12.3116,13.82,80,78,8.0,SH,1700092186
63,arraial do cabo,-22.9661,-42.0278,25.98,83,85,4.63,BR,1700092187
64,fortuna,40.5982,-124.1573,18.85,68,20,0.0,US,1700092187
65,yeniseysk,58.4497,92.1703,-0.03,97,100,3.58,RU,1700092188
66,quellon,-43.1167,-73.6167,7.66,72,94,2.73,CL,1700092188
67,pointe aux piments,-20.0628,57.5131,23.62,83,18,3.2,MU,1700092189
68,vorkuta,67.5,64.0,-13.86,97,100,3.13,RU,1700091928
69,nako,31.8814,78.627,-1.61,35,39,1.27,IN,1700092189
70,comodoro rivadavia,-45.8667,-67.5,9.92,50,75,4.63,AR,1700092190
71,uturoa,-16.7333,-151.4333,25.91,71,96,7.06,PF,1700092191
72,basoko,1.2391,23.616,21.74,96,70,1.29,CD,1700092191
73,kailua-kona,19.6406,-155.9956,27.98,81,75,5.14,US,1700092192
74,ola,59.5833,151.2833,-14.48,78,19,3.07,RU,1700092192
75,nadi,-17.8,177.4167,28.0,74,20,4.12,FJ,1700092193
76,pratt,37.6439,-98.7376,20.34,55,0,3.6,US,1700092193
77,kingston,17.997,-76.7936,29.53,78,75,7.2,JM,1700092119
78,vadso,70.0744,29.7487,-6.91,79,20,8.75,NO,1700092194
79,whitehorse,60.7161,-135.0538,-7.21,85,75,10.29,CA,1700092195
80,nikol'sk,53.7189,46.0712,1.88,96,100,2.31,RU,1700092161
81,bcharre,34.2508,36.0106,9.07,86,6,0.63,LB,1700092196
82,arno,60.1167,18.6333,0.99,68,100,4.42,SE,1700092196
83,tiksi,71.6872,128.8694,-13.62,82,100,9.38,RU,1700092197
84,el calafate,-50.3408,-72.2768,6.05,58,74,2.58,AR,1700092197
85,papatowai,-46.5619,169.4708,15.85,45,58,2.3,NZ,1700092198
86,saipan,15.1355,145.701,29.39,79,20,7.72,MP,1700092198
87,tralee,52.2704,-9.7026,7.54,93,97,2.08,IE,1700092199
88,talcahuano,-36.7167,-73.1167,12.82,62,20,6.17,CL,1700092200
89,west island,-12.1568,96.8225,24.99,73,75,5.14,CC,1700092200
90,thompson,55.7435,-97.8558,-1.91,93,75,1.03,CA,1700092201
91,lospalos,-8.5186,127.0025,30.19,45,4,0.45,TL,1700092202
92,midleton,51.9153,-8.1805,9.51,84,100,4.01,IE,1700092203
93,chokwe,-24.5333,32.9833,17.64,71,4,2.02,MZ,1700092203
94,suva,-18.1416,178.4415,31.71,62,40,2.57,FJ,1700092204
95,peshawar,34.008,71.5785,13.08,47,20,0.0,PK,1700092196
96,oriximina,-1.7656,-55.8661,29.74,48,46,0.74,BR,1700091940
97,shibetsu,43.659,145.132,6.39,75,0,1.54,JP,1700092206
